"Mere aktivnosti glede na tip gospodinjstva po: KOHEZIJSKA REGIJA, LETO,"
"TIP GOSPODINJSTVA , MERITVE"

" ";" ";" ";"Stopnja brezposelnosti (v %)"
"SLOVENIJA"
" ";"2011"
" ";" ";"Enoèlansko gospodinjstvo";11.6
" ";" ";"Samohranilec z najmlajšim otrokom starim manj kot 25 let";13.9
" ";" ";"Samohranilec z najmlajšim otrokom starim 25 let ali veè";13.2
" ";" ";"Par brez otrok";7.0
" ";" ";"Par z najmlajšim otrokom starim manj kot 25 let";6.8
" ";" ";"Par z najmlajšim otrokom starim 25 let ali veè";8.4
" ";" ";"Par ali samohranilec z najmlajšim otrokom starim manj kot 25 let in drugimi osebami v gospodinjstvu";7.4
" ";" ";"Par ali samohranilec z najmlajšim otrokom starim 25 let ali veè in drugimi osebami v gospodinjstvu";10.1 M
" ";" ";"Drug tip gospodinjstva";11.9 M
" ";"2012"
" ";" ";"Enoèlansko gospodinjstvo";10.9
" ";" ";"Samohranilec z najmlajšim otrokom starim manj kot 25 let";16.5
" ";" ";"Samohranilec z najmlajšim otrokom starim 25 let ali veè";14.0
" ";" ";"Par brez otrok";6.5
" ";" ";"Par z najmlajšim otrokom starim manj kot 25 let";7.7
" ";" ";"Par z najmlajšim otrokom starim 25 let ali veè";9.5
" ";" ";"Par ali samohranilec z najmlajšim otrokom starim manj kot 25 let in drugimi osebami v gospodinjstvu";9.6
" ";" ";"Par ali samohranilec z najmlajšim otrokom starim 25 let ali veè in drugimi osebami v gospodinjstvu";7.2 M
" ";" ";"Drug tip gospodinjstva";10.0 M
" ";"2013"
" ";" ";"Enoèlansko gospodinjstvo";15.5
" ";" ";"Samohranilec z najmlajšim otrokom starim manj kot 25 let";17.7
" ";" ";"Samohranilec z najmlajšim otrokom starim 25 let ali veè";14.3
" ";" ";"Par brez otrok";8.0
" ";" ";"Par z najmlajšim otrokom starim manj kot 25 let";8.1
" ";" ";"Par z najmlajšim otrokom starim 25 let ali veè";10.6
" ";" ";"Par ali samohranilec z najmlajšim otrokom starim manj kot 25 let in drugimi osebami v gospodinjstvu";10.6
" ";" ";"Par ali samohranilec z najmlajšim otrokom starim 25 let ali veè in drugimi osebami v gospodinjstvu";12.7 M
" ";" ";"Drug tip gospodinjstva";13.4 M
" ";"2014"
" ";" ";"Enoèlansko gospodinjstvo";13.4
" ";" ";"Samohranilec z najmlajšim otrokom starim manj kot 25 let";17.8
" ";" ";"Samohranilec z najmlajšim otrokom starim 25 let ali veè";15.2
" ";" ";"Par brez otrok";7.4
" ";" ";"Par z najmlajšim otrokom starim manj kot 25 let";7.8
" ";" ";"Par z najmlajšim otrokom starim 25 let ali veè";10.5
" ";" ";"Par ali samohranilec z najmlajšim otrokom starim manj kot 25 let in drugimi osebami v gospodinjstvu";10.6
" ";" ";"Par ali samohranilec z najmlajšim otrokom starim 25 let ali veè in drugimi osebami v gospodinjstvu";15.7 M
" ";" ";"Drug tip gospodinjstva";11.3 M
" ";"2015"
" ";" ";"Enoèlansko gospodinjstvo";11.1
" ";" ";"Samohranilec z najmlajšim otrokom starim manj kot 25 let";14.8
" ";" ";"Samohranilec z najmlajšim otrokom starim 25 let ali veè";14.7
" ";" ";"Par brez otrok";8.4
" ";" ";"Par z najmlajšim otrokom starim manj kot 25 let";7.3
" ";" ";"Par z najmlajšim otrokom starim 25 let ali veè";10.3
" ";" ";"Par ali samohranilec z najmlajšim otrokom starim manj kot 25 let in drugimi osebami v gospodinjstvu";9.8
" ";" ";"Par ali samohranilec z najmlajšim otrokom starim 25 let ali veè in drugimi osebami v gospodinjstvu";11.0 M
" ";" ";"Drug tip gospodinjstva";8.3 M
" ";"2016"
" ";" ";"Enoèlansko gospodinjstvo";12.3
" ";" ";"Samohranilec z najmlajšim otrokom starim manj kot 25 let";13.8
" ";" ";"Samohranilec z najmlajšim otrokom starim 25 let ali veè";11.3
" ";" ";"Par brez otrok";6.0
" ";" ";"Par z najmlajšim otrokom starim manj kot 25 let";6.2
" ";" ";"Par z najmlajšim otrokom starim 25 let ali veè";10.0
" ";" ";"Par ali samohranilec z najmlajšim otrokom starim manj kot 25 let in drugimi osebami v gospodinjstvu";7.3
" ";" ";"Par ali samohranilec z najmlajšim otrokom starim 25 let ali veè in drugimi osebami v gospodinjstvu";10.7 M
" ";" ";"Drug tip gospodinjstva";10.3 M
" ";"2017"
" ";" ";"Enoèlansko gospodinjstvo";9.5
" ";" ";"Samohranilec z najmlajšim otrokom starim manj kot 25 let";9.2
" ";" ";"Samohranilec z najmlajšim otrokom starim 25 let ali veè";11.3
" ";" ";"Par brez otrok";5.6
" ";" ";"Par z najmlajšim otrokom starim manj kot 25 let";5.1
" ";" ";"Par z najmlajšim otrokom starim 25 let ali veè";8.5
" ";" ";"Par ali samohranilec z najmlajšim otrokom starim manj kot 25 let in drugimi osebami v gospodinjstvu";5.2 M
" ";" ";"Par ali samohranilec z najmlajšim otrokom starim 25 let ali veè in drugimi osebami v gospodinjstvu";9.4 M
" ";" ";"Drug tip gospodinjstva";7.6 M

"Vir: Statistièni urad Republike Slovenije."

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=7788 target=_blank) Metodološka pojasnila "

"Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih "
"teritorialnih enot v Evropski uniji (The Classification  of "
"Territorial Units for Statistics) – NUTS ((seznam "
"HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-"
"ije/klasifikacije TARGET=_blank) opis in pojasnila), raven NUTS 2. "
"Podatki o spremembah posameznih kohezijskih regij so dostopni tudi na "
"(seznam HREF=http://www.stat.si/dokument/8483 TARGET=_blank) povezavi."

